state,city,avg_numproviders,median_numproviders,None of the above / Not working for pay,I continue to commute to work,Used to work from home and still do,"Used to commute, now work from home",I have recently been furloughed or laid-off,"Used to work from home, but now I commute",place_2000_pop
IL,Batavia,6.5,6.5,0.0,1.0,1.0,3.0,0.0,0.0,238660
IL,Belleville,9.0,9.0,2.0,1.0,1.0,2.0,1.0,0.0,41410
IL,Bloomington,9.0,9.0,9.0,5.0,0.0,9.0,0.0,0.0,64808
IL,Bourbonnais,,,3.0,1.0,0.0,2.0,0.0,0.0,
IL,Carbondale,7.0,7.0,2.0,3.0,1.0,1.0,1.0,0.0,20681
IL,Champaign,9.0,9.0,8.0,5.0,1.0,6.0,0.0,1.0,67518
IL,Chicago,9.0,9.0,101.0,61.0,14.0,58.0,15.0,3.0,28960142
IL,Crystal Lake,6.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,38000
IL,DeKalb,8.0,8.0,3.0,1.0,2.0,2.0,1.0,0.0,39018
IL,Decatur,7.0,7.0,8.0,2.0,1.0,0.0,1.0,0.0,81860
IL,Des Plaines,12.0,12.0,3.0,2.0,0.0,1.0,0.0,0.0,58720
IL,Dixon,4.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,15941
IL,East Peoria,11.0,11.0,1.0,1.0,1.0,2.0,0.0,0.0,22638
IL,Edwardsville,12.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,21491
IL,Elgin,9.5,9.5,5.0,3.0,1.0,2.0,1.0,0.0,7401320474
IL,Elmhurst,9.0,9.0,1.0,1.0,1.0,2.0,1.0,0.0,427620
IL,Evanston,12.0,12.0,0.0,2.0,2.0,3.0,0.0,0.0,74239
IL,Galesburg,8.0,8.0,2.0,5.0,0.0,1.0,1.0,0.0,33706
IL,Geneva,7.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,19515
IL,Granite City,12.0,12.0,4.0,0.0,0.0,3.0,2.0,0.0,31301
IL,Hoffman Estates,,,1.0,0.0,0.0,4.0,0.0,0.0,
IL,Joliet,7.0,7.0,3.0,2.0,0.0,2.0,1.0,1.0,105597624
IL,Lisle,,,1.0,1.0,1.0,2.0,0.0,0.0,
IL,Macomb,8.0,8.0,1.0,1.0,0.0,1.0,2.0,0.0,18558
IL,McHenry,6.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,21501
IL,Moline,7.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,43768
